`# time, f
1.008504252126062966e+04,-2.115737492523198371e-01
1.010505252626313086e+04,-2.116101369471108107e-01
1.012506253126563206e+04,-2.116488792263602481e-01
1.014507253626813508e+04,-2.116904200816523418e-01
1.016508254127063628e+04,-2.117352948982274830e-01
1.018509254627313567e+04,-2.117841418387151065e-01
1.020510255127563687e+04,-2.118377405594020213e-01
1.022511255627813807e+04,-2.118969972722898887e-01
1.024512256128064109e+04,-2.119631565224724956e-01
1.026513256628314230e+04,-2.120386282587689020e-01
1.028514257128564350e+04,-2.121279619223629120e-01
1.030515257628814470e+04,-2.122389535057619403e-01
1.032516258129064408e+04,-2.123891143706467255e-01
1.034517258629314711e+04,-2.126699693132965974e-01
1.036518259129564831e+04,-2.133597476378563951e-01
1.038519259629814951e+04,-2.135588601577383117e-01
1.040520260130065071e+04,-2.136452993465864092e-01
1.042521260630315192e+04,-2.136909559691717864e-01
1.044522261130565312e+04,-2.137166053724983694e-01
1.046523261630815432e+04,-2.137315585007951158e-01
1.048524262131065552e+04,-2.137406258870321873e-01
1.050525262631315672e+04,-2.137464124918405928e-01
1.052526263131565611e+04,-2.137503518677556780e-01
1.054527263631815731e+04,-2.137532387871267925e-01
1.056528264132066033e+04,-2.137555164835271138e-01
1.058529264632316153e+04,-2.137574338362485393e-01
1.060530265132566274e+04,-2.137591318367200177e-01
1.062531265632816394e+04,-2.137606913037848333e-01
1.064532266133066514e+04,-2.137621593004681020e-01
1.066533266633316634e+04,-2.137635638162460605e-01
1.068534267133566755e+04,-2.137649219653269816e-01
1.070535267633816875e+04,-2.137662445894207841e-01
1.072536268134067177e+04,-2.137675388585039415e-01
1.074537268634317297e+04,-2.137688097516918240e-01
1.076538269134567417e+04,-2.137700609084112191e-01
1.078539269634817538e+04,-2.137712951234079783e-01
1.080540270135067476e+04,-2.137725146389004294e-01
1.082541270635317596e+04,-2.137737213202172415e-01
1.084542271135567717e+04,-2.137749167638026970e-01
1.086543271635817837e+04,-2.137761023654405901e-01
1.088544272136067957e+04,-2.137772793646899039e-01
1.090545272636318077e+04,-2.137784488748050160e-01
1.092546273136568198e+04,-2.137796119035899334e-01
1.094547273636818500e+04,-2.137807693684374843e-01
1.096548274137068620e+04,-2.137819221075367704e-01
1.098549274637318740e+04,-2.137830708884842223e-01
1.100550275137568860e+04,-2.137842164150934032e-01
1.102551275637818981e+04,-2.137853593329260005e-01
1.104552276138069101e+04,-2.137865002338980025e-01
1.106553276638319039e+04,-2.137876396602087503e-01
1.108554277138569159e+04,-2.137887781077663363e-01
1.110555277638819280e+04,-2.137899160292346945e-01
1.112556278139069400e+04,-2.137910538367943369e-01
1.114557278639319520e+04,-2.137921919046831265e-01
